"druglocalcode","drugigrdname"
"Drug389","Budesonide 160mcg + Formoterol 4.5mcg"
"Drug390","Cefotaxime"
"Drug391","Mg.Lactate 470mg + Pyridoxine HCl 5mg"
"Drug392","Everolimus"
"Drug393","Thioctic acid"
"Drug394","Bisacodyl"
"Drug395","Omeprazole"
"Drug396","Nifedipine"
"Drug397","Pranlukast hydrate"
"Drug398","Carboplatin"
"Drug399","Trospium"
"Drug400","Amlodipine + Atorvastatin"
"Drug401","Levothyroxine sodium"
"Drug402","Peritoneal dialysate"
"Drug403","Dapoxetine HCl"
"Drug404","Irbesartan"
"Drug405","Cefpiramide Sod."
"Drug406","Doxorubicin HCl"
"Drug407","Thioridazine"
"Drug408","Isoflurane"
"Drug409","Human chorionic gonadotropin (HCG)"
"Drug410","Letosteine"
"Drug411","Risperidone"
"Drug412","Growth Hormone(Human)"
"Drug413","Penicillin-G Potassium"
"Drug414","Hydroxychloroquine sulfate"
"Drug415","Carvedilol"
"Drug416","Famciclovir"
"Drug417","Raltegravir potassium"
"Drug418","Growth Hormone(Human)"
"Drug419","Amobarbital sod."
"Drug420","Alprazolam"
"Drug421","Interferon alpha-2b"
"Drug422","Thioguanine"
"Drug1","Propafenone.HCl"
"Drug2","Temozolomide"
"Drug3","Nitrendipine"
"Drug4","Leucovorin Calcium"
"Drug5","Fentanyl citrate"
"Drug6","KH2PO4"
"Drug7","Rabeprazole"
"Drug8","Atomoxetine"
"Drug9","Lactobacillus acidophilus Tyndallized lyophilizate"
"Drug10","Cefteram Pivoxil"
"Drug11","Piroxicam"
"Drug12","Avanafil 100mg"
"Drug13","Flecainide"
"Drug14","Epoetin beta, Methoxy polyethylene glycol"
"Drug15","Cytarabine"
"Drug16","Levothyroxine"
"Drug17","Insulin aspart"
"Drug18","L.acidophilus 150mg + Strep.faecalis 150mg + L.bifidus 100mg"
"Drug205","Esomeprazole"
"Drug206","Dopamine.HCl"
"Drug207","Ketorolac "
"Drug208","Fluoxetine"
"Drug209","Metoprolol Succinate"
"Drug210","Dipyridamole"
"Drug211","Pentoxifylline"
"Drug212","Atropine Sulfate"
"Drug213","Apomorphine"
"Drug214","Calcium Citrate"
"Drug215","Decitabine"
"Drug216","Mefloquine"
"Drug217","Levetiracetam"
"Drug218","Idebenone"
"Drug219","Lidocaine+Epinephrine(1:10만)"
"Drug220","Lanthanum Carbonate"
"Drug221","Netilmicin Sulfate"
"Drug222","Hydrocortisone"
"Drug223","Bupropion"
"Drug224","Cefazedone Sod."
"Drug225","Calcium carbonate 1250mg+Cholecalciferol 400unit"
"Drug226","Colistimethate Sod."
"Drug227","Mirodenafil"
"Drug228","신바로 건조엑스(자오가, 우슬, 방풍, 두충, 구척, 흑두)"
"Drug229","Ropivacaine"
"Drug230","Estradiol + Norethisterone"
"Drug231","Cilazapril"
"Drug232","Doxycycline hyclate"
"Drug233","Amisulpride"
"Drug234","Adefovir"
"Drug235","Dexibuprofen"
"Drug236","L-Carnitine"
"Drug237","Sulpiride"
"Drug238","FSH+LH"
"Drug239","Acetyl-L-carnitine"
"Drug240","Midazolam"
"Drug241","Indeloxazine.HCl"
"Drug242","Ropinirole"
"Drug243","Alprostadil (Lipo PGE1)"
"Drug244","Amoxicillin+Clavulanic acid"
"Drug245","Dipyridamole"
"Drug246","Psyllium Husk"
"Drug247","Antacids, other combination"
"Drug248","Oxaliplatin"
"Drug249","Protirelin tartrate"
"Drug250","Activated charcoal"
"Drug251","Gatifloxacin"
"Drug252","Manidipine"
"Drug253","Peritoneal dialysate"
"Drug254","Erythromycin estolate"
"Drug255","Perphenazine HCl"
"Drug256","Follitropin(FSH)"
"Drug257","Valganciclovir"
"Drug258","Vacc. Antivenin(Snake Venom Antisera)"
"Drug259","Trimethoprim + Sulfamethoxazole"
"Drug260","Mexiletine.HCl"
"Drug261","Olmesartan Medoxomil"
"Drug262","Tadalafil"
"Drug263","Dihydrocodeine tartrate"
"Drug264","Fludarabine Phosphate"
"Drug265","Verapamil.HCl"
"Drug266","Mirtazapine"
"Drug267","Peginterferon alpha-2a"
"Drug268","Carbohydrate+Protein+fat+Dietary fiber+Vitamins+Minerals"
"Drug269","Arginine thiazolidine carboxylate"
"Drug270","Citalopram"
"Drug271","Telithromycin"
"Drug272","Human plasma thrombin "
"Drug273","Morphine sulfate"
"Drug274","Cisapride"
"Drug275","Haloperidol"
"Drug276","Bicalutamide"
"Drug277","Lisinopril"
"Drug278","Sertaconazole nitrate"
"Drug279","Vitamin B,C"
"Drug280","Tiquizium Br"
"Drug281","Aclatonium"
"Drug282","Spironolactone+HCTZ"
"Drug283","Vacc.Antivenin (Snake Venom Antisera)"
"Drug284","Atorvastatin calcium anhydrous"
"Drug285","Megestrol"
"Drug286","Azithromycin"
"Drug19","Vardenafil"
"Drug20","Calcium Disodium Edetate"
"Drug21","Itraconazole"
"Drug22","Oseltamivir"
"Drug23","Amoxicillin + Clavulanic acid"
"Drug24","Ciclesonide"
"Drug25","Trazodone.HCl"
"Drug26","Pilsicainide HCl"
"Drug27","Amoxicillin + Clavulanic acid"
"Drug28","Vancomycin HCl"
"Drug29","Choline alphoscerate"
"Drug30","Piperacillin sod."
"Drug31","Infliximab"
"Drug32","Kremezin Carbon"
"Drug33","Amoxapine"
"Drug34","Amoxicillin 250mg+Sulbactam 250mg"
"Drug35","Ropinirole"
"Drug36","Oxaliplatin"
"Drug37","Norepinephrine Bitartrate"
"Drug38","Theophylline anhydrous"
"Drug39","Kanamycin sulfate"
"Drug40","Alfacalcidol"
"Drug41","Ulinastatin"
"Drug42","Fosphenytoin sodium"
"Drug43","Itraconazole"
"Drug44","Lidocaine HCl"
"Drug45","Somatostatin "
"Drug46","Argatroban"
"Drug47","Budesonide 80mcg + Formoterol 4.5mcg"
"Drug48","Interferon beta-1b"
"Drug49","Acetylcysteine"
"Drug50","Xylometazoline"
"Drug51","Trimethoprim + Sulfamethoxazole"
"Drug52","Salcatonin"
"Drug53","Cyproheptadine.HCl"
"Drug54","Cefotetan Disodium"
"Drug55","Methylprednisolone acetate"
"Drug56","Mesalazine"
"Drug57","Peginterferon alfa-2b"
"Drug58","Cyclosporine"
"Drug59","Flecainide"
"Drug60","Morphine Sulfate Inj 5mg"
"Drug61","Darbepoetin-α"
"Drug62","Follitropin(FSH)"
"Drug63","Midazolam"
"Drug64","Dihydroergocristine mesylate"
"Drug65","Heptaplatin"
"Drug66","Zanamivir"
"Drug67","Atosiban"
"Drug68","Mefenamic acid"
"Drug69","Fluticasone propionate"
"Drug70","Methazolamide"
"Drug71","Naloxone.HCl"
"Drug72","Lactobacillus acidophilus"
"Drug73","Isoproterenol.HCl"
"Drug74","Phloroglucinol"
"Drug75","Alprazolam"
"Drug76","Remifentanil HCl"
"Drug77","Enoxaparin"
"Drug78","D-Penicillamine"
"Drug79","Prostenoglycine"
"Drug80","Propofol"
"Drug81","Lanreotide"
"Drug82","Granisetron"
"Drug83","Metformin"
"Drug84","Ferric Hydroxide Polymaltose Complex"
"Drug85","Dactinomycin (Actinomycin-D)"
"Drug86","Hydrocortisone.Na succinate"
"Drug87","Quetiapine"
"Drug88","Cefotaxime"
"Drug89","Roxithromycin"
"Drug90","Estrogen Conjugated"
"Drug91","Oxycodone HCl"
"Drug92","Bacillus polyfermenticus n.sp 166.7mg"
"Drug93","Atorvastatin calcium anhydrous"
"Drug94","Bismuth Subcarbonate+Dried Alum. Hydroxide Gel+Mg. Trisilicate Etc."
"Drug95","Tolperisone.HCl"
"Drug96","FSH+LH"
"Drug97","Ranitidine.HCl"
"Drug98","Tiropramide"
"Drug99","Somatropin"
"Drug100","Vacc.Influenza Virus"
"Drug101","Tolvaptan"
"Drug102","Carbamazepine"
"Drug103","Tolazoline"
"Drug104","Povidone Iodine"
"Drug105","Olanzapine"
"Drug106","Dioctahedral smectite"
"Drug107","Lung surfactant preparations"
"Drug108","Orlistat"
"Drug109","Fentanyl citrate"
"Drug110","Filgrastim (G-CSF)"
"Drug111","Hydrocortisone sod.succinate"
"Drug112","Ascorbate calcium"
"Drug113","Enalapril maleate"
"Drug114","Valproic acid"
"Drug115","Clindamycin "
"Drug116","Spironolactone+HCTZ"
"Drug117","Duloxetine HCl"
"Drug118","Peritoneal dialysate"
"Drug119","Topiramate"
"Drug120","Metformin"
"Drug121","Methylprednisolone"
"Drug122","Sotalol.HCl"
"Drug123","Pramipexole"
"Drug124","Teprenone"
"Drug125","Hydrocortisone succinate Sod."
"Drug126","5- Fluorouracil"
"Drug127","Glucosamine sulfate"
"Drug128","Lidocaine HCl"
"Drug129","Cefazoline Na"
"Drug130","Oxidized regenerated cellulose 100g"
"Drug131","Afloqualone"
"Drug132","Lidocaine HCl"
"Drug133","Bepotastine besilate"
"Drug134","Norepinephrine Bitartrate"
"Drug135","Disodium Edetate"
"Drug136","Quetiapine"
"Drug137","Paricalcitol"
"Drug138","Clematis mandshurica etc."
"Drug139","Oxycodone HCl"
"Drug140","Sodium chondroithine sulfate 18.5mg + Sodium hyaluronate  14.6mg"
"Drug141","Estradiol + Drospirenone"
"Drug142","Peritoneal dialysate"
"Drug143","Zolpidem"
